Year,Place,Player,Score,Notes
2023 - 24,1,Scottie Sheffler,-1,
,2,Ludvid Aberg,-2,
,T3,Tommy Fleetwood,E,Even
,T3,Collin Morikawa,-3,
,T3,Max Homa,1,
2018 - 19,1,Tiger Woods,-5,
,T2,Dustin Johnson,-2,
,T2,Brooks Koepka,-3,
,T2,Xander Schauffele,-2,
,T5,Tony Finau,-8,
,T5,Webb Simpson,-8,
,T5,Jason Day,1,
,T5,Francesco Molinari,-6,
2013 - 14,1,Bubba Watson,2,
,T2,Jordan Spieth,-2,
,T2,Jonas Blixt,-1,
,4,Miguel Angel Jimenez,-6,
,T5,Rickie Fowler,-5,
,T5,Matt Kuchar,-4,
2008 - 09,1,Angel Cabrera,-3,
,T2,Kenny Perry,-2,
,T2,Chad Campbell,E,Even
,4,Shingo Katayama,-2,
,5,Phil Mickelson,-1,
2003 - 04,1,Phil Mickelson,-3,
,2,Ernie Els,-1,
,3,K. J. Choi,E,Even
,T4,Sergio Garcia,-3,
,T4,Bernhard Langer,3,
