Year,Place,Player,Score,Notes
2023 - 24,1,Scottie Sheffler,-11,
2023 - 24,2,Ludvid Aberg,-7,
2023 - 24,3,Tommy Fleetwood,-4,
2023 - 24,3,Collin Morikawa,-4,
2023 - 24,3,Max Homa,-4,
2018 - 19,1,Tiger Woods,-13,
2018 - 19,2,Dustin Johnson,-12,
2018 - 19,2,Brooks Koepka,-12,
2018 - 19,2,Xander Schauffele,-12,
2018 - 19,5,Tony Finau,-11,
2018 - 19,5,Webb Simpson,-11,
2018 - 19,5,Jason Day,-11,
2018 - 19,5,Francesco Molinari,-11,
2013 - 14,1,Bubba Watson,-8,
2013 - 14,2,Jonas Blixt,-5,
2013 - 14,2,Jordan Spieth,-5,
2013 - 14,4,Miguel Angel Jimenez,-4,
2013 - 14,5,Rickie Fowler,-2,
2013 - 14,5,Matt Kuchar,-2,
2008 - 09,1,Angel Cabrera,-12,Playoff Between Top 3
2008 - 09,2,Kenny Perry,-12,
2008 - 09,2,Chad Campbell,-12,
2008 - 09,4,Shingo Katayama,-11,
2008 - 09,5,Phil Mickelson,-9,
2003 - 04,1,Phil Mickelson,-9,
2003 - 04,2,Ernie Els,-8,
2003 - 04,3,K. J. Choi,-6,
2003 - 04,4,Sergio Garcia,-3,
2003 - 04,4,Bernhard Langer,-3,
