Year,Place,Player,Score,Notes
2023 - 24,1,Scottie Sheffler,-6,
2023 - 24,2,Ludvid Aberg,1,
2023 - 24,3,Tommy Fleetwood,0,Even
2023 - 24,3,Collin Morikawa,-1,
2023 - 24,3,Max Homa,-5,
2018 - 19,1,Tiger Woods,-2,
2018 - 19,2,Dustin Johnson,-4,
2018 - 19,2,Brooks Koepka,-6,
2018 - 19,2,Xander Schauffele,1,
2018 - 19,5,Tony Finau,-1,
2018 - 19,5,Webb Simpson,0,Even
2018 - 19,5,Jason Day,-2,
2018 - 19,5,Francesco Molinari,-2,
2013 - 14,1,Bubba Watson,-3,
2013 - 14,2,Jordan Spieth,-1,
2013 - 14,2,Jonas Blixt,-2,
2013 - 14,4,Miguel Angel Jimenez,-1,
2013 - 14,5,Rickie Fowler,-1,
2013 - 14,5,Matt Kuchar,1,
2008 - 09,1,Angel Cabrera,-4,
2008 - 09,2,Kenny Perry,-4,
2008 - 09,2,Chad Campbell,-7,
2008 - 09,4,Shingo Katayama,-5,
2008 - 09,5,Phil Mickelson,1,
2003 - 04,1,Phil Mickelson,0,Even
2003 - 04,2,Ernie Els,-2,
2003 - 04,3,K. J. Choi,-1,
2003 - 04,4,Sergio Garcia,-1,
2003 - 04,4,Bernhard Langer,0,Even
