Round_Year,Average,Standard_Deviation
All Years,,
Round 1 Average Score,-1.97,3.11
Round 2 Average Score,-1.83,1.14
Round 3 Average Score,-2.28,1.58
Round 4 Average Score,-1.83,2.70
,,
Average Round per Year,,
2023 - 24,,
Round 1 Average Score,-2.2,3.11
Round 2 Average Score,-1.4,1.14
Round 3 Average Score,-1,1.58
Round 4 Average Score,-1.40,2.70
,,
2018 - 19,,
Round 1 Average Score,-2.00,2.20
Round 2 Average Score,-3.38,2.20
Round 3 Average Score,-3.25,3.18
Round 4 Average Score,-1.25,2.72
,,
2013 - 14,,
Round 1 Average Score,-1.17,1.33
Round 2 Average Score,-0.17,3.06
Round 3 Average Score,-2.67,2.94
Round 4 Average Score,-0.33,1.75
,,
2008 - 09,,
Round 1 Average Score,-3.80,2.95
Round 2 Average Score,-2.80,2.39
Round 3 Average Score,-1.60,1.14
Round 4 Average Score,-2.80,1.79
,,
2003 - 04,,
Round 1 Average Score,-0.80,0.84
Round 2 Average Score,-0.80,1.64
Round 3 Average Score,-0.80,2.49
Round 4 Average Score,-3.40,2.30
