Round_Year,Average,Standard_Deviation
All Years,,
Round 1 Average Score,-2.28,3.3
Round 2 Average Score,-2.04,0.96
Round 3 Average Score,-2.54,1.71
Round 4 Average Score,-2.04,2.7
,,
Average Round per Year,,
2023 - 24,,
Round 1 Average Score,-2.75,3.3
Round 2 Average Score,-1.75,0.96
Round 3 Average Score,-1.25,1.71
Round 4 Average Score,-1.4,2.7
,,
2018 - 19,,
Round 1 Average Score,-2.29,2.21
Round 2 Average Score,-3.38,2.2
Round 3 Average Score,-3.25,3.18
Round 4 Average Score,-1.67,2.85
,,
2013 - 14,,
Round 1 Average Score,-1.17,1.33
Round 2 Average Score,-0.17,3.06
Round 3 Average Score,-2.67,2.94
Round 4 Average Score,-0.4,1.95
,,
2008 - 09,,
Round 1 Average Score,-3.8,2.95
Round 2 Average Score,-2.8,2.39
Round 3 Average Score,-2,0.82
Round 4 Average Score,-2.8,1.79
,,
2003 - 04,,
Round 1 Average Score,-1.33,0.58
Round 2 Average Score,-1.33,2.08
Round 3 Average Score,-1,2.83
Round 4 Average Score,-4.25,1.5
