Year,Place,Player,Score,Notes
2023 - 24,1,Scottie Sheffler,E,Even
2023 - 24,2,Ludvid Aberg,-3,
2023 - 24,T3,Tommy Fleetwood,-1,
2023 - 24,T3,Collin Morikawa,-2,
2023 - 24,T3,Max Homa,-1,
2018 - 19,1,Tiger Woods,-4,
2018 - 19,T2,Dustin Johnson,-2,
2018 - 19,T2,Brooks Koepka,-1,
2018 - 19,T2,Xander Schauffele,-7,
2018 - 19,T5,Tony Finau,-2,
2018 - 19,T5,Webb Simpson,-1,
2018 - 19,T5,Jason Day,-5,
2018 - 19,T5,Francesco Molinari,-5,
2013 - 14,1,Bubba Watson,-4,
2013 - 14,T2,Jordan Spieth,-2,
2013 - 14,T2,Jonas Blixt,-1,
2013 - 14,4,Miguel Angel Jimenez,4,
2013 - 14,T5,Rickie Fowler,3,
2013 - 14,T5,Matt Kuchar,-1,
2008 - 09,1,Angel Cabrera,-4,
2008 - 09,T2,Kenny Perry,-5,
2008 - 09,T2,Chad Campbell,-2,
2008 - 09,4,Shingo Katayama,1,
2008 - 09,5,Phil Mickelson,-4,
2003 - 04,1,Phil Mickelson,-3,
2003 - 04,2,Ernie Els,E,Even
2003 - 04,3,K. J. Choi,-2,
2003 - 04,T4,Sergio Garcia,1,
2003 - 04,T4,Bernhard Langer,E,Even
