Year,Place,Player,Score,Notes
2023 - 24,1,Scottie Sheffler,-11,
,2,Ludvid Aberg,-7,
,3,Tommy Fleetwood,-4,
,3,Collin Morikawa,-4,
,3,Max Homa,-4,
2018 - 19,1,Tiger Woods,-13,
,2,Dustin Johnson,-12,
,2,Brooks Koepka,-12,
,2,Xander Schauffele,-12,
,5,Tony Finau,-11,
,5,Webb Simpson,-11,
,5,Jason Day,-11,
,5,Francesco Molinari,-11,
2013 - 14,1,Bubba Watson,-8,
,2,Jonas Blixt,-5,
,2,Jordan Spieth,-5,
,4,Miguel Angel Jimenez,-4,
,5,Rickie Fowler,-2,
,5,Matt Kuchar,-2,
2008 - 09,1,Angel Cabrera,-12,Playoff Between Top 3
,2,Kenny Perry,-12,
,2,Chad Campbell,-12,
,4,Shingo Katayama,-11,
,5,Phil Mickelson,-9,
2003 - 04,1,Phil Mickelson,-9,
,2,Ernie Els,-8,
,3,K. J. Choi,-6,
,4,Sergio Garcia,-3,
,4,Bernhard Langer,-3,
